DATAFLOW,FREQ: Frequency,TIME_PERIOD: Time,GEO_PICT: Pacific Island Countries and territories,TOPIC: Topic,INDICATOR: Indicator,SEX: Sex,AGE: Age,CONDITION: Women’s condition,VIOLENCE_TYPE: Type of violence,PERPETRATOR: Perpetrator,ACTUALITY: Actuality,LIFEPER: Period of life,OUTCOME: Outcome,RESPONSE: Response,HELP_REASON: Reason for searching help,HELP_PROVIDER: Help provider,OBS_VALUE,UNIT_MEASURE: Unit of measure,UNIT_MULT: Unit multiplier,OBS_STATUS: Observation Status,DATA_SOURCE: Data source,OBS_COMMENT: Comment
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_001: Types of violence against women by partner,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,CONT_ECON: At least one act of economic abusive,PARTNER: Partner,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,6.2,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_001: Types of violence against women by partner,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,EMO: Emotional violence,PARTNER: Partner,ALO12M: At least once in the past 12 months,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,9.6,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_001: Types of violence against women by partner,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,EMO: Emotional violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,26.7,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_001: Types of violence against women by partner,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,PHYS: Physical violence,PARTNER: Partner,ALO12M: At least once in the past 12 months,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,6.7,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_001: Types of violence against women by partner,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,PHYS: Physical violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,30.2,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_001: Types of violence against women by partner,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALO12M: At least once in the past 12 months,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,9.1,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_001: Types of violence against women by partner,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,33,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_001: Types of violence against women by partner,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,SEX: Sexual violence,PARTNER: Partner,ALO12M: At least once in the past 12 months,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,4.6,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_001: Types of violence against women by partner,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,SEX: Sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,13.1,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_001: Types of violence against women by partner,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPREG: Ever pregnant,_T: Any,_T: Any,_T: Any,PREGNANCY: During pregnancy,_T: Any,_T: Any,_T: Any,_T: Any,8,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_002: Partner Physical violence by severity,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,PHYS_MOD: Moderate physical violence,PARTNER: Partner,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,10,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_002: Partner Physical violence by severity,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,PHYS_SEV: Severe physical violence,PARTNER: Partner,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,20.3,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_003: Act of physical violence by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,PHYS_CHOK: Choked or burnt on purpose,PARTNER: Partner,ALO12M: At least once in the past 12 months,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,0.1,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_003: Act of physical violence by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,PHYS_CHOK: Choked or burnt on purpose,PARTNER: Partner,ALOLIFE: At least once in their lifetime,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,2.2,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_003: Act of physical violence by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,PHYS_FIST: Hit with a fist or something else,PARTNER: Partner,ALO12M: At least once in the past 12 months,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,3,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_003: Act of physical violence by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,PHYS_FIST: Hit with a fist or something else,PARTNER: Partner,ALOLIFE: At least once in their lifetime,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,19.8,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_003: Act of physical violence by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,"PHYS_KICK: Kicked, dragged, beaten",PARTNER: Partner,ALO12M: At least once in the past 12 months,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,1.2,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_003: Act of physical violence by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,"PHYS_KICK: Kicked, dragged, beaten",PARTNER: Partner,ALOLIFE: At least once in their lifetime,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,11,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_003: Act of physical violence by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,PHYS_PUSH: Pushed or shoved,PARTNER: Partner,ALO12M: At least once in the past 12 months,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,3.9,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_003: Act of physical violence by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,PHYS_PUSH: Pushed or shoved,PARTNER: Partner,ALOLIFE: At least once in their lifetime,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,22.2,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_003: Act of physical violence by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,PHYS_SLAP: Slapped or having something thrown at them,PARTNER: Partner,ALO12M: At least once in the past 12 months,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,5.3,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_003: Act of physical violence by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,PHYS_SLAP: Slapped or having something thrown at them,PARTNER: Partner,ALOLIFE: At least once in their lifetime,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,27.6,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_003: Act of physical violence by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,"PHYS_WEAP: Threatened with or had a gun, knife or weapon used on them",PARTNER: Partner,ALO12M: At least once in the past 12 months,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,0.1,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_003: Act of physical violence by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,"PHYS_WEAP: Threatened with or had a gun, knife or weapon used on them",PARTNER: Partner,ALOLIFE: At least once in their lifetime,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,1.3,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_004: Acts of sexual violence by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,SEX_AFRAID: Having sexual intercourse because they were afraid of what partners could do,PARTNER: Partner,ALO12M: At least once in the past 12 months,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,3.1,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_004: Acts of sexual violence by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,SEX_AFRAID: Having sexual intercourse because they were afraid of what partners could do,PARTNER: Partner,ALOLIFE: At least once in their lifetime,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,8.8,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_004: Acts of sexual violence by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,SEX_DEGRAD: Forced to perform degrading or humiliating sexual act(s),PARTNER: Partner,ALO12M: At least once in the past 12 months,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,0.3,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_004: Acts of sexual violence by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,SEX_DEGRAD: Forced to perform degrading or humiliating sexual act(s),PARTNER: Partner,ALOLIFE: At least once in their lifetime,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,2.1,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_004: Acts of sexual violence by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,SEX_FORCE: Physically forced to have sexual intercourse when they did not want,PARTNER: Partner,ALO12M: At least once in the past 12 months,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,3.5,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_004: Acts of sexual violence by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,SEX_FORCE: Physically forced to have sexual intercourse when they did not want,PARTNER: Partner,ALOLIFE: At least once in their lifetime,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,10.2,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_005: Acts of emotional  violence by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,EMO_HUM: Belittled or humiliated,PARTNER: Partner,ALO12M: At least once in the past 12 months,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,3.2,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_005: Acts of emotional  violence by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,EMO_HUM: Belittled or humiliated,PARTNER: Partner,ALOLIFE: At least once in their lifetime,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,12.2,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_005: Acts of emotional  violence by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,EMO_INS: Insulted,PARTNER: Partner,ALO12M: At least once in the past 12 months,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,6.2,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_005: Acts of emotional  violence by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,EMO_INS: Insulted,PARTNER: Partner,ALOLIFE: At least once in their lifetime,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,21.2,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_005: Acts of emotional  violence by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,EMO_SCA: Scared or intimidated,PARTNER: Partner,ALO12M: At least once in the past 12 months,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,2.6,PERCENT: percent,,,FHSS,
SPC:DF_VAW(1.0),A: Annual,2013,CK: Cook Islands,VAW_TOPIC_005: Acts of emotional  violence by partners,NUMPERRF: Number of persons in relative frequency,F: Female,Y15T64: 15-64,EVPART: Ever-partnered,EMO_SCA: Scared or intimidated,PARTNER: Partner,ALOLIFE: At least once in their lifetime,_T: Any,_T: Any,_T: Any,_T: Any,_T: Any,11.8,PERCENT: percent,,,FHSS,
