TIME_PERIOD,GEO_PICT,TOPIC,CONDITION,VIOLENCE_TYPE,PERPETRATOR,ACTUALITY,LIFEPER,OBS_VALUE
2013,CK: Cook Islands,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYS: Physical violence,PARTNER: Partner,ALO12M: At least once in the past 12 months,PREGNANCY: During pregnancy,0.0
2013,CK: Cook Islands,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYS: Physical violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,39.6
2013,CK: Cook Islands,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALO12M: At least once in the past 12 months,PREGNANCY: During pregnancy,5.7
2013,CK: Cook Islands,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALO12M: At least once in the past 12 months,PREGNANCY: During pregnancy,1.4
2013,CK: Cook Islands,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,21.6
2013,CK: Cook Islands,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,46.7
2013,CK: Cook Islands,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,16.1
2013,CK: Cook Islands,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,SEX: Sexual violence,PARTNER: Partner,ALO12M: At least once in the past 12 months,PREGNANCY: During pregnancy,0.0
2013,CK: Cook Islands,VAW_TOPIC_011: Injuries from physical or sexual partner violence,EVPART: Ever-partnered,SEX: Sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,0.0
2013,CK: Cook Islands,VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,1.1
2013,CK: Cook Islands,VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,41.1
2013,CK: Cook Islands,VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,13.9
2013,CK: Cook Islands,VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,36.0
2013,CK: Cook Islands,VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,1.1
2013,CK: Cook Islands,VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,5.5
2013,CK: Cook Islands,VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,4.8
2013,CK: Cook Islands,VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,4.0
2013,CK: Cook Islands,VAW_TOPIC_012: Impact of partner violence on women's health and wellbeing,EVPART: Ever-partnered,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,14.6
2013,CK: Cook Islands,VAW_TOPIC_013: Impact of partner violence on women's reproductive health,EVPREG: Ever pregnant,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,4.7
2013,CK: Cook Islands,VAW_TOPIC_013: Impact of partner violence on women's reproductive health,EVPREG: Ever pregnant,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,19.1
2013,CK: Cook Islands,VAW_TOPIC_013: Impact of partner violence on women's reproductive health,EVPREG: Ever pregnant,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,4.3
2013,CK: Cook Islands,VAW_TOPIC_013: Impact of partner violence on women's reproductive health,EVPREG: Ever pregnant,PHYSORSEX: Physical and/or sexual violence,PARTNER: Partner,ALOLIFE: At least once in their lifetime,PREGNANCY: During pregnancy,3.6
